name,matched_on_ot,platform_in_booking_master,url
east harbor seafood palace,East Harbor Seafood Palace,website,https://eastharborseafoodpalace.site/
eat here now,EAT,website,http://www.eatherenownewyork.com/
eckhart beer co.,Eckhart Beer Co.,resy,https://resy.com/cities/new-york-ny/venues/eckhart-beer-co
egg shop,Egg Shop,website,https://www.eggsinbusinessnyc.com/
el atico restaurant,El Atico,walk_in,
el basurero,El Basurero,walk_in,
el bochito,El Bochito,walk_in,
el camion,El Camion,website,http://camioncantina.com/
el coco,El Coco,resy,https://resy.com/cities/new-york-ny/venues/el-coco
el conquistador,El Conquistador,walk_in,
el coyote restaurant,El Coyote - Jackson Heights,website,https://elcoyoteone.com/
el fish marisqueria,El Fish Marisqueria,website,http://elfish67.com
el gallo negro,El Gallo Negro,website,https://elgallonegrony.com/menu/
el gallo taqueria,El Gallo Taqueria,website,http://elgallobk.com/
el lado taco,El Lado Taco,website,https://www.elladotaco.com/
el lugar cantina,El Lugar Cantina,website,https://www.ellugarcantina.com/
el malecon restaurant,El Malecon,website,http://maleconnyc.com/
el mariachi restaurant,El Mariachi,website,http://www.elmariachimexicancuisine.com/
el mero mero,El Mero Mero,website,http://elmeromerony.com/
el pinguino,El Pingüino,resy,https://resy.com/cities/new-york-ny/venues/el-pinguino
el pote restaurant,El Pote,website,https://elpoterestaurant.com/
el sombrero restaurant,El Sombrero,website,http://www.sombrerorestaurant.com/
el viejo yayo,El Viejo Yayo,website,https://elviejoyayony.com/
elephant & castle,Elephant & Castle - New York,website,http://www.elephantandcastle.com/
elias corner,Elias Corner,website,http://eliascorner.com/
ella funt,Ella Funt,resy,https://resy.com/cities/new-york-ny/venues/ella-funt
emma's torch,Emma's Torch,website,https://emmastorch.org/
emmons palace,Emmons Palace,website,https://emmonspalace.com/
empanada mama les,Empanada Mama - LES,website,https://www.empanadamama.com/lower-east-side-location
empellon al pastor,Empellon Al Pastor,website,https://www.empellon.com/restaurants/al-pastor/
emperor seafood restaurant,Emperor Seafood,walk_in,
empire szechuan garden,Szechuan Garden,website,http://www.ordernewempireszechuangarden.com/
enoteca maria,Enoteca Maria,website,http://www.enotecamaria.com/
enthaice thai kitchen,Enthaice Thai Kitchen,website,https://order.toasttab.com/online/enthaice-thai-kitchen-3320-31st-ave
erin's isle,Erin's Isle,website,https://erinsisleny.wixsite.com/erinsisleny
essex pearl,Essex Pearl,resy,https://resy.com/cities/new-york-ny/venues/essex
estancia 460,Estancia 460,resy,https://resy.com/cities/new-york-ny/venues/estancia-460
estrella latina bar & grill,Estrella Latina Bar & Grill,unknown,
estrellita poblana ii,Estrellita Poblana II,walk_in,
etc steakhouse,etc. steakhouse,website,http://www.etcsteakhouse.com/
ethos gallery,Ethos - Gallery,website,https://ethosrestaurantgroup.com/
evelyn's kitchen,Evelyn's Kitchen,website,http://www.evelyns-kitchen.com/
famous sichuan,Famous Sichuan,website,http://www.malahouse21.com/
fan fried rice bar,Fan Fried Rice Bar,resy,https://resy.com/cities/new-york-ny/venues/fan-fried-rice-bar
fan szechuan,Fan Szechuan,website,http://www.fanszechuanny.com/
farra,Farra,resy,https://resy.com/cities/new-york-ny/venues/farra
fat rabbit,Fat Rabbit,resy,https://resy.com/cities/new-york-ny/venues/fat-rabbit
faun,FAUN,unknown,
feile,Feile,unknown,
felice pasta bar,Felice Pasta Bar,website,https://www.timeoutmarket.com/newyork/eat-and-drink/felice-pasta-bar/
fer,Fer,website,http://www.fer-nyc.com/
finnegans wake,Finnegan's Wake,website,http://www.finneganswakenyc.com/
firenze ristorante,Firenze Ristorante,website,https://www.eataly.com/us_en/stores/nyc-downtown
fish village,Fish Village,website,https://usseafood.net/
five senses,Five Senses (Koreatown),website,https://fivesenses-ny.site/
flames indian aroma,Flames Indian Aroma,website,https://www.flamesindianaromanyc.com/
flip,Flip - 59th St,website,https://www.bloomingdales.com/stores/ny/newyork/flip_1-f.html
flora,Flora,resy,https://resy.com/cities/new-york-ny/venues/flora-nyc
flyfish club,Flyfish Club,website,https://www.flyfishclub.com/
follia,Follia,website,http://follianyc.com/
formosa,Formosa,website,http://formosadumplings.com/
fort defiance,Fort Defiance,website,http://www.goodfork.com/
foundry kitchen & bar,Foundry Kitchen and Bar,website,https://www.marriott.com/en-us/hotels/nycsw-the-westin-new-york-at-times-square/dining/?scid=feed67b0-9a2f-4de1-8df6-114544116108
foxface natural,Foxface Natural,resy,https://resy.com/cities/new-york-ny/venues/foxface-natural
